"id","year","state_name","state_code","district_name","district_code","registration_circles","male_below_12_years","male_12_years_to_16_years","male_16_years_to_18_years","male_children","male_18_years_and_above","female_below_12_years","female_12_years_to_16_years","female_16_years_to_18_years","female_children","female_18_years_and_above","transgender_below_12_years","transgender_12_years_to_16_years","transgender_16_years_to_18_years","transgender_children","transgender_18_years_and_above"
329,"2021","Karnataka","29","Hassan","539","Hassan",6.0,9.0,0.0,15.0,127.0,5.0,10.0,0.0,15.0,251.0,0.0,0.0,0.0,0.0,0.0
330,"2021","Karnataka","29","Haveri","540","Haveri",2.0,2.0,4.0,8.0,80.0,4.0,2.0,5.0,11.0,228.0,0.0,0.0,0.0,0.0,0.0
331,"2021","Karnataka","29","Dharwad","536","Hubballi Dharwad City",2.0,2.0,4.0,8.0,92.0,4.0,3.0,2.0,9.0,148.0,0.0,0.0,0.0,0.0,0.0
332,"2021","Karnataka","29","Belagavi","527","K.G.F.",5.0,0.0,0.0,5.0,27.0,4.0,1.0,0.0,5.0,101.0,0.0,0.0,0.0,0.0,0.0
333,"2021","Karnataka","29","Kodagu","541","Kodagu",9.0,0.0,0.0,9.0,48.0,9.0,0.0,0.0,9.0,83.0,0.0,0.0,0.0,0.0,0.0
334,"2021","Karnataka","29","Kolar","542","Kolar",10.0,4.0,4.0,18.0,61.0,4.0,2.0,2.0,8.0,221.0,0.0,0.0,0.0,0.0,0.0
335,"2021","Karnataka","29","Koppal","543","Koppal",4.0,2.0,3.0,9.0,37.0,6.0,6.0,2.0,14.0,146.0,0.0,0.0,0.0,0.0,0.0
336,"2021","Karnataka","29","Mandya","544","Mandya",0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0
337,"2021","Karnataka","29","Dakshina Kannada","534","Mangaluru City",2.0,3.0,1.0,6.0,85.0,5.0,4.0,2.0,11.0,83.0,0.0,0.0,0.0,0.0,0.0
338,"2021","Karnataka","29","Mysuru","545","Mysuru City",13.0,4.0,0.0,17.0,143.0,19.0,1.0,0.0,20.0,186.0,0.0,0.0,0.0,0.0,0.0
339,"2021","Karnataka","29","Mysuru","545","Mysuru District",10.0,8.0,4.0,22.0,213.0,12.0,8.0,6.0,26.0,398.0,0.0,0.0,0.0,0.0,0.0
340,"2021","Karnataka","29","Raichur","546","Raichur",9.0,1.0,1.0,11.0,48.0,14.0,2.0,1.0,17.0,129.0,0.0,0.0,0.0,0.0,0.0
341,"2021","Karnataka","29","Bengaluru Urban","525","K.Railways",2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
342,"2021","Karnataka","29","Ramanagara","631","Ramanagara",10.0,6.0,10.0,26.0,148.0,8.0,4.0,8.0,20.0,329.0,0.0,0.0,0.0,0.0,0.0
343,"2021","Karnataka","29","Shivamogga","547","Shimoga",26.0,0.0,0.0,26.0,218.0,27.0,0.0,3.0,30.0,436.0,0.0,0.0,0.0,0.0,0.0
344,"2021","Karnataka","29","Tumakuru","548","Tumakuru",13.0,0.0,0.0,13.0,171.0,21.0,4.0,1.0,26.0,535.0,0.0,0.0,0.0,0.0,0.0
345,"2021","Karnataka","29","Udupi","549","Udupi",3.0,3.0,4.0,10.0,93.0,3.0,3.0,4.0,10.0,94.0,0.0,0.0,0.0,0.0,0.0
346,"2021","Karnataka","29","Uttara Kannada","550","Uttara Kannada",17.0,2.0,1.0,20.0,96.0,5.0,0.0,0.0,5.0,182.0,0.0,0.0,0.0,0.0,0.0
347,"2021","Karnataka","29","Yadgir","635","Yadgiri",6.0,0.0,0.0,6.0,27.0,2.0,2.0,0.0,4.0,69.0,0.0,0.0,0.0,0.0,0.0
348,"2021","Karnataka","29","Belagavi","527","Belagavi City",4.0,2.0,2.0,8.0,57.0,6.0,4.0,4.0,14.0,91.0,0.0,0.0,0.0,0.0,0.0
349,"2021","Karnataka","29","Kalaburagi","538","Kalaburgi City",0.0,0.0,3.0,3.0,33.0,0.0,0.0,9.0,9.0,75.0,0.0,0.0,0.0,0.0,0.0
350,"2021","Kerala","32","Alappuzha","554","Alapuzha",6.0,9.0,22.0,37.0,176.0,18.0,6.0,36.0,60.0,467.0,0.0,0.0,0.0,0.0,0.0
351,"2021","Kerala","32","Ernakulam","555","Ernakulam Commr.",3.0,13.0,8.0,24.0,102.0,9.0,5.0,13.0,27.0,198.0,0.0,0.0,0.0,0.0,0.0
352,"2021","Kerala","32","Ernakulam","555","Ernakulam Rural",18.0,17.0,14.0,49.0,179.0,16.0,9.0,30.0,55.0,338.0,0.0,0.0,0.0,0.0,6.0
353,"2021","Kerala","32","Idukki","556","Idukki",17.0,19.0,18.0,54.0,101.0,10.0,10.0,16.0,36.0,200.0,0.0,0.0,0.0,0.0,0.0
354,"2021","Kerala","32","Kannur","557","Kannur City",2.0,2.0,6.0,10.0,52.0,8.0,2.0,9.0,19.0,89.0,0.0,0.0,0.0,0.0,0.0
355,"2021","Kerala","32","Kasaragod","558","Kasargod",7.0,8.0,10.0,25.0,85.0,9.0,13.0,7.0,29.0,148.0,0.0,0.0,0.0,0.0,0.0
356,"2021","Kerala","32","Kollam","559","Kollam Commr.",26.0,17.0,12.0,55.0,157.0,20.0,15.0,14.0,49.0,482.0,0.0,0.0,0.0,0.0,0.0
357,"2021","Kerala","32","Kollam","559","Kollam Rural",5.0,10.0,7.0,22.0,100.0,5.0,10.0,52.0,67.0,296.0,0.0,0.0,0.0,0.0,0.0
358,"2021","Kerala","32","Kottayam","560","Kottayam",9.0,6.0,15.0,30.0,128.0,3.0,7.0,47.0,57.0,291.0,0.0,0.0,0.0,0.0,39.0
359,"2021","Kerala","32","Kozhikode","561","Kozhikode Commr.",9.0,14.0,12.0,35.0,143.0,6.0,13.0,16.0,35.0,152.0,0.0,0.0,0.0,0.0,0.0
360,"2021","Kerala","32","Kozhikode","561","Kozhikode Rural",16.0,15.0,12.0,43.0,121.0,9.0,16.0,12.0,37.0,275.0,0.0,0.0,0.0,0.0,0.0
361,"2021","Kerala","32","Malappuram","562","Malappuram",19.0,26.0,34.0,79.0,168.0,18.0,21.0,54.0,93.0,293.0,0.0,0.0,0.0,0.0,0.0
